fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,56,25,0,56,0,0
2020-04-21,57,25,0,57,0,0
2020-04-22,64,26,0,64,0,0
2020-04-23,68,25,0,67,0,1
2020-04-24,71,26,0,70,0,1
2020-04-25,72,26,0,71,0,1
2020-04-26,72,26,0,71,0,1
2020-04-27,75,26,0,74,0,1
2020-04-28,76,27,0,75,0,1
2020-04-29,76,27,0,75,0,1
2020-04-30,76,28,0,75,0,1
2020-05-01,76,33,0,75,0,1
2020-05-03,67,35,0,57,1,1
2020-05-04,68,35,0,66,1,1
2020-05-05,68,36,0,66,1,1
