USER,LOCATION,CREATED,TWEET,FAVCOUNT,COORDS,FOLLOWERS,sentiment
@auguII_a,COLOMBIA,2020-04-11 01:31:34,SI NO PAGAN FUERA ES LO JUSTO,0,,2533,0.1804587386131239
@mrjhoned,VALLE,2020-04-11 01:31:36,"Antes del anuncio de @petrogustavo sobre su salud, leí trinos de algunos de sus opositores que le reprochaban por haber viajado supuestamente a Paris. Ha quedado demostrado, una vez más, que los odios que se exhiben en estas redes son brutales. Ni la pandemia los ha disminuido",0,,53,0.03437773692069933
@SandinoVictoria,COLOMBIA,2020-04-11 01:31:36,#PutumayoNoEstaSolo,0,,33340,0.541333260777616
@vivanromero,BOGOTA,2020-04-11 01:31:36,"Artistas, en esta cuarentena, hagan arte.  ¿Recuerdan este grafitti? Maravilloso, directo del 2011-13. https://t.co/6jLJWOSdj4",0,,178,0.9491194384461611
@mafon19,COLOMBIA,2020-04-11 01:31:37,ÚLTIMA HORA  Trump firma un decreto que permite sancionar a países que se nieguen o retrasen en la repatriación de sus ciudadanos desde EE.UU. durante la pandemia https://t.co/jLg9u0HZjA https://t.co/Prf6FBSMo3,0,,58,0.0046014680097567675
@MundoredTV,COLOMBIA,2020-04-11 01:31:41,"Este Domingo @CanalRCN presentará el documental de @DiscoveryLA ""#COVIDー19 Pandemia 2020"" a las 10:00pm ¡Recomendado! https://t.co/UoQZFMOu3E",0,,25629,0.2895175208964294
@ADELACASTROM,BOGOTA,2020-04-11 01:31:42,"@drooppydoo @MinSaludCol La cuarentena? Cual cuarentena, si los amigos de la alcaldesa, están en las calles.",0,,618,0.4206464231358234
@LaCOsoG,BOGOTA,2020-04-11 01:31:42,"@OcesaColombia Sin pensarlo, @SJofficial  Cumplí en cuarentena, los merezco de cumpleaños",0,,207,0.05110435759090685
@tigrejerez,BUCARAMANGA,2020-04-11 01:31:43,"#Bitácora | #Viral... 🐾 Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia.  JOAQUIN PHOENIX - Arthur Fleck - Joker ..... #cuarentena | Día 9 | Todo fluye😺 https://t.co/M9aQIhhkHm",0,,2573,0.503589518335872
@Angiegars,BOGOTA,2020-04-11 01:31:44,Ella es #Morita ❤️❤️❤️❤️❤️#Micaelitos https://t.co/0bSj8ZsCFH,0,,3909,0.4118313835101324
