fecha_de_muerte,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-22,1,0.0,1.0,0.0,0.0
2020-03-25,2,1.0,1.0,0.0,0.0
2020-03-27,3,1.0,1.0,0.0,0.0
2020-03-28,4,2.0,1.0,0.0,0.0
2020-03-31,5,3.0,1.0,0.0,0.0
2020-04-01,6,3.0,1.0,0.0,0.0
2020-04-02,8,4.0,1.0,0.0,0.0
2020-04-03,12,5.0,2.0,0.0,0.0
2020-04-04,15,7.0,2.0,0.0,0.0
2020-04-05,19,8.0,2.0,0.0,0.0
2020-04-06,21,9.0,2.0,0.0,0.0
2020-04-07,25,11.0,2.0,0.0,1.0
2020-04-08,26,12.0,2.0,0.0,1.0
2020-04-09,30,13.0,2.0,0.0,1.0
2020-04-10,32,14.0,2.0,0.0,1.0
2020-04-11,34,15.0,2.0,0.0,1.0
2020-04-12,36,15.0,2.0,0.0,1.0
2020-04-13,37,16.0,2.0,0.0,1.0
2020-04-14,41,19.0,2.0,0.0,1.0
2020-04-15,45,19.0,3.0,0.0,1.0
2020-04-16,49,20.0,4.0,0.0,1.0
2020-04-17,50,20.0,4.0,0.0,1.0
2020-04-18,55,21.0,6.0,0.0,1.0
2020-04-19,57,22.0,6.0,0.0,1.0
2020-04-21,60,24.0,6.0,0.0,1.0
2020-04-22,61,24.0,6.0,0.0,1.0
2020-04-23,64,24.0,6.0,0.0,1.0
2020-04-24,68,26.0,6.0,0.0,1.0
2020-04-25,71,27.0,6.0,0.0,1.0
2020-04-26,78,29.0,7.0,0.0,1.0
2020-04-27,82,30.0,7.0,1.0,1.0
2020-04-28,87,32.0,7.0,1.0,1.0
2020-04-29,90,32.0,7.0,1.0,1.0
2020-04-30,96,34.0,7.0,1.0,1.0
2020-05-01,100,37.0,7.0,1.0,1.0
2020-05-02,105,38.0,7.0,1.0,1.0
2020-05-03,108,38.0,7.0,1.0,1.0
2020-05-04,110,38.0,7.0,1.0,1.0
2020-05-05,111,38.0,7.0,1.0,1.0
2020-05-06,112,38.0,8.0,1.0,1.0
2020-05-07,113,38.0,8.0,1.0,1.0
