fecha_de_muerte,Colombia,Bogotá D.C.,Cali
2020-03-25,1,0.0,1.0
2020-03-27,2,0.0,1.0
2020-03-29,3,1.0,1.0
2020-04-03,4,2.0,1.0
2020-04-05,6,4.0,1.0
2020-04-11,7,5.0,1.0
2020-04-17,8,6.0,1.0
2020-04-20,9,6.0,2.0
2020-04-23,10,7.0,2.0
2020-04-26,11,7.0,2.0
2020-04-27,12,7.0,2.0
2020-05-05,13,7.0,2.0
