fecha_de_muerte,Colombia,Bogotá D.C.,Cali
2020-03-23,1,0.0,0.0
2020-03-26,2,1.0,0.0
2020-03-31,3,1.0,1.0
2020-04-01,5,2.0,1.0
2020-04-04,11,5.0,3.0
2020-04-06,15,6.0,5.0
2020-04-07,17,8.0,5.0
2020-04-10,18,9.0,5.0
2020-04-11,19,9.0,5.0
2020-04-12,20,9.0,5.0
2020-04-13,21,9.0,6.0
2020-04-16,24,11.0,6.0
2020-04-17,26,12.0,7.0
2020-04-18,27,12.0,7.0
2020-04-20,29,13.0,7.0
2020-04-21,30,13.0,7.0
2020-04-22,31,13.0,7.0
2020-04-23,33,13.0,8.0
2020-04-24,36,13.0,8.0
2020-04-25,37,13.0,8.0
2020-04-26,39,14.0,8.0
2020-04-27,40,14.0,9.0
2020-04-28,41,14.0,9.0
2020-04-29,42,14.0,9.0
2020-04-30,46,14.0,9.0
2020-05-01,48,14.0,9.0
2020-05-02,50,14.0,9.0
2020-05-03,53,14.0,9.0
2020-05-04,55,14.0,9.0
2020-05-05,58,14.0,9.0
2020-05-06,61,16.0,9.0
