fecha_de_muerte,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-25,2,0.0,1.0,0.0,0.0
2020-03-30,3,0.0,1.0,0.0,0.0
2020-03-31,4,0.0,1.0,0.0,0.0
2020-04-02,6,2.0,1.0,0.0,0.0
2020-04-03,10,2.0,1.0,0.0,0.0
2020-04-04,13,5.0,1.0,0.0,0.0
2020-04-05,15,6.0,1.0,0.0,1.0
2020-04-06,17,7.0,1.0,0.0,1.0
2020-04-07,18,7.0,1.0,0.0,1.0
2020-04-09,22,8.0,1.0,0.0,1.0
2020-04-10,23,8.0,1.0,0.0,1.0
2020-04-11,24,9.0,1.0,0.0,1.0
2020-04-12,30,9.0,4.0,0.0,1.0
2020-04-13,33,11.0,4.0,0.0,1.0
2020-04-14,37,13.0,5.0,0.0,1.0
2020-04-15,39,14.0,6.0,0.0,1.0
2020-04-16,44,15.0,8.0,0.0,2.0
2020-04-17,45,15.0,8.0,0.0,2.0
2020-04-18,50,16.0,9.0,1.0,2.0
2020-04-19,54,17.0,12.0,1.0,2.0
2020-04-20,56,18.0,13.0,1.0,2.0
2020-04-21,59,19.0,14.0,1.0,2.0
2020-04-22,61,19.0,15.0,1.0,2.0
2020-04-23,62,20.0,15.0,1.0,2.0
2020-04-24,66,21.0,15.0,1.0,2.0
2020-04-25,69,21.0,15.0,1.0,2.0
2020-04-26,75,23.0,15.0,1.0,2.0
2020-04-27,76,24.0,15.0,1.0,2.0
2020-04-28,78,25.0,16.0,1.0,2.0
2020-04-29,82,26.0,17.0,1.0,2.0
2020-04-30,87,27.0,17.0,1.0,3.0
2020-05-02,91,27.0,17.0,1.0,3.0
2020-05-03,93,28.0,17.0,1.0,3.0
2020-05-04,99,31.0,19.0,1.0,3.0
2020-05-05,101,31.0,19.0,1.0,3.0
2020-05-07,102,31.0,19.0,1.0,3.0
