fecha_de_muerte,Colombia,Bogotá D.C.,Cali
2020-03-28,1,0.0,0.0
2020-03-30,2,0.0,0.0
2020-04-02,3,1.0,0.0
2020-04-03,5,2.0,0.0
2020-04-06,7,4.0,0.0
2020-04-07,8,4.0,0.0
2020-04-12,9,5.0,0.0
2020-04-13,10,5.0,0.0
2020-04-15,12,5.0,1.0
2020-04-16,13,5.0,1.0
2020-04-20,14,5.0,1.0
2020-04-22,17,5.0,2.0
2020-04-23,18,5.0,2.0
2020-04-24,19,6.0,2.0
2020-04-25,21,6.0,2.0
2020-04-27,23,6.0,3.0
2020-04-29,28,7.0,4.0
2020-04-30,29,7.0,4.0
2020-05-01,30,7.0,4.0
2020-05-02,32,7.0,5.0
2020-05-04,34,7.0,5.0
2020-05-07,35,8.0,5.0
