fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-21,1,0.0,0.0,0.0,0.0
2020-03-22,2,0.0,0.0,0.0,0.0
2020-03-23,3,0.0,0.0,0.0,0.0
2020-03-25,5,0.0,0.0,0.0,0.0
2020-03-26,7,2.0,0.0,0.0,0.0
2020-03-27,13,6.0,0.0,0.0,0.0
2020-03-28,17,7.0,1.0,1.0,0.0
2020-03-29,27,10.0,1.0,3.0,0.0
2020-03-30,28,10.0,1.0,3.0,0.0
2020-03-31,32,11.0,2.0,5.0,0.0
2020-04-01,41,17.0,2.0,7.0,0.0
2020-04-02,47,21.0,3.0,7.0,0.0
2020-04-03,56,27.0,4.0,8.0,0.0
2020-04-04,64,29.0,4.0,10.0,1.0
2020-04-05,67,30.0,4.0,10.0,1.0
2020-04-06,71,32.0,4.0,10.0,1.0
2020-04-07,76,33.0,4.0,10.0,1.0
2020-04-08,82,33.0,4.0,10.0,1.0
2020-04-09,85,34.0,4.0,10.0,1.0
2020-04-10,95,37.0,4.0,10.0,1.0
2020-04-11,106,40.0,4.0,10.0,1.0
2020-04-12,123,52.0,6.0,10.0,1.0
2020-04-13,135,57.0,6.0,10.0,1.0
2020-04-14,147,65.0,8.0,10.0,1.0
2020-04-15,171,80.0,9.0,11.0,1.0
2020-04-16,182,85.0,9.0,11.0,1.0
2020-04-17,191,87.0,10.0,12.0,1.0
2020-04-18,197,88.0,11.0,13.0,1.0
2020-04-19,205,89.0,12.0,15.0,1.0
2020-04-20,214,92.0,13.0,15.0,1.0
2020-04-21,225,93.0,20.0,15.0,1.0
2020-04-22,236,98.0,22.0,15.0,1.0
2020-04-23,252,104.0,25.0,15.0,1.0
2020-04-24,259,105.0,26.0,15.0,2.0
2020-04-25,273,108.0,29.0,15.0,2.0
2020-04-26,287,110.0,31.0,17.0,2.0
2020-04-27,293,110.0,33.0,17.0,2.0
2020-04-28,301,111.0,35.0,17.0,2.0
2020-04-29,313,114.0,36.0,17.0,2.0
2020-04-30,316,115.0,36.0,17.0,2.0
2020-05-01,325,119.0,38.0,17.0,2.0
2020-05-02,330,119.0,40.0,17.0,2.0
2020-05-03,336,121.0,42.0,17.0,2.0
2020-05-04,339,124.0,42.0,17.0,2.0
2020-05-05,364,139.0,46.0,19.0,2.0
2020-05-06,376,146.0,48.0,20.0,2.0
2020-05-07,387,155.0,48.0,21.0,2.0
