fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-17,1,0.0,0.0,0.0,0.0
2020-03-31,3,0.0,1.0,1.0,0.0
2020-04-03,4,1.0,1.0,1.0,0.0
2020-04-04,5,1.0,1.0,1.0,0.0
2020-04-05,6,2.0,1.0,1.0,0.0
2020-04-08,7,2.0,1.0,1.0,0.0
2020-04-11,8,2.0,1.0,1.0,0.0
2020-04-13,10,3.0,1.0,2.0,0.0
2020-04-14,12,5.0,1.0,2.0,0.0
2020-04-15,13,6.0,1.0,2.0,0.0
2020-04-18,14,6.0,1.0,2.0,0.0
2020-04-19,16,6.0,1.0,3.0,0.0
2020-04-20,18,6.0,2.0,4.0,0.0
2020-04-21,19,6.0,2.0,4.0,1.0
2020-04-23,20,6.0,2.0,4.0,1.0
2020-04-24,21,7.0,2.0,4.0,1.0
2020-04-25,23,7.0,3.0,4.0,1.0
2020-04-26,24,7.0,3.0,4.0,1.0
2020-04-27,25,7.0,3.0,4.0,1.0
2020-04-28,26,7.0,3.0,4.0,1.0
2020-05-02,27,7.0,4.0,4.0,1.0
2020-05-03,28,8.0,4.0,4.0,1.0
2020-05-04,30,9.0,5.0,4.0,1.0
2020-05-05,31,10.0,5.0,4.0,1.0
2020-05-06,32,11.0,5.0,4.0,1.0
