fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-23,2,2.0,0.0,0.0,0.0
2020-03-25,3,2.0,0.0,1.0,0.0
2020-03-26,5,3.0,0.0,1.0,0.0
2020-03-27,8,6.0,0.0,1.0,0.0
2020-03-28,9,7.0,0.0,1.0,0.0
2020-03-29,12,8.0,0.0,1.0,0.0
2020-03-30,15,10.0,0.0,1.0,0.0
2020-03-31,17,10.0,0.0,1.0,0.0
2020-04-01,22,13.0,0.0,1.0,0.0
2020-04-02,25,14.0,0.0,2.0,0.0
2020-04-03,27,14.0,0.0,3.0,0.0
2020-04-04,29,15.0,0.0,3.0,1.0
2020-04-05,31,16.0,0.0,3.0,1.0
2020-04-06,32,16.0,0.0,3.0,1.0
2020-04-07,35,17.0,0.0,3.0,1.0
2020-04-08,36,17.0,0.0,3.0,1.0
2020-04-09,37,18.0,0.0,3.0,1.0
2020-04-10,43,21.0,0.0,3.0,1.0
2020-04-11,44,21.0,0.0,3.0,1.0
2020-04-12,58,31.0,0.0,3.0,1.0
2020-04-13,67,38.0,1.0,3.0,1.0
2020-04-14,76,44.0,1.0,3.0,1.0
2020-04-15,80,48.0,1.0,3.0,1.0
2020-04-16,85,52.0,1.0,3.0,1.0
2020-04-17,89,52.0,1.0,3.0,1.0
2020-04-19,98,54.0,3.0,4.0,1.0
2020-04-20,102,55.0,3.0,4.0,1.0
2020-04-21,108,57.0,4.0,4.0,1.0
2020-04-22,111,58.0,5.0,4.0,1.0
2020-04-23,115,59.0,5.0,4.0,1.0
2020-04-24,118,59.0,5.0,4.0,3.0
2020-04-25,125,63.0,6.0,4.0,3.0
2020-04-26,127,63.0,7.0,4.0,3.0
2020-04-27,129,63.0,7.0,5.0,3.0
2020-04-28,133,65.0,8.0,5.0,3.0
2020-04-29,137,67.0,8.0,5.0,3.0
2020-04-30,138,68.0,8.0,5.0,3.0
2020-05-01,146,71.0,12.0,5.0,3.0
2020-05-02,151,72.0,12.0,6.0,3.0
2020-05-04,152,73.0,12.0,6.0,3.0
2020-05-05,166,79.0,14.0,8.0,3.0
2020-05-06,176,86.0,14.0,8.0,3.0
2020-05-07,183,93.0,14.0,8.0,3.0
