fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-21,1,1.0,0.0,0.0,0.0
2020-03-22,3,3.0,0.0,0.0,0.0
2020-03-23,7,5.0,0.0,2.0,0.0
2020-03-24,11,6.0,0.0,3.0,0.0
2020-03-25,14,6.0,0.0,4.0,0.0
2020-03-26,18,8.0,0.0,4.0,0.0
2020-03-27,22,8.0,0.0,4.0,0.0
2020-03-28,35,11.0,2.0,5.0,0.0
2020-03-29,45,14.0,2.0,7.0,1.0
2020-03-30,53,16.0,3.0,7.0,1.0
2020-03-31,60,18.0,3.0,8.0,1.0
2020-04-01,70,23.0,3.0,9.0,1.0
2020-04-02,75,24.0,3.0,9.0,2.0
2020-04-03,84,28.0,3.0,9.0,2.0
2020-04-04,91,28.0,3.0,9.0,2.0
2020-04-05,95,30.0,3.0,9.0,2.0
2020-04-06,101,33.0,3.0,10.0,2.0
2020-04-07,106,33.0,4.0,11.0,2.0
2020-04-08,113,33.0,4.0,12.0,2.0
2020-04-09,125,35.0,8.0,12.0,2.0
2020-04-10,135,36.0,9.0,13.0,2.0
2020-04-11,145,39.0,10.0,14.0,2.0
2020-04-12,160,51.0,11.0,14.0,2.0
2020-04-13,189,67.0,13.0,14.0,3.0
2020-04-14,195,68.0,15.0,14.0,3.0
2020-04-15,217,84.0,16.0,14.0,3.0
2020-04-16,229,87.0,18.0,14.0,3.0
2020-04-17,236,90.0,20.0,14.0,3.0
2020-04-18,246,94.0,20.0,15.0,3.0
2020-04-19,260,95.0,21.0,17.0,3.0
2020-04-20,272,98.0,23.0,19.0,3.0
2020-04-21,281,98.0,30.0,19.0,3.0
2020-04-22,293,101.0,31.0,20.0,3.0
2020-04-23,303,103.0,32.0,21.0,3.0
2020-04-24,307,104.0,32.0,21.0,3.0
2020-04-25,321,107.0,37.0,22.0,3.0
2020-04-26,336,111.0,40.0,22.0,3.0
2020-04-27,348,117.0,41.0,23.0,4.0
2020-04-28,363,120.0,44.0,23.0,4.0
2020-04-29,371,122.0,45.0,23.0,4.0
2020-04-30,378,122.0,48.0,24.0,4.0
2020-05-01,396,131.0,52.0,24.0,4.0
2020-05-02,409,136.0,53.0,24.0,4.0
2020-05-03,423,141.0,55.0,25.0,4.0
2020-05-04,430,145.0,55.0,26.0,4.0
2020-05-05,472,167.0,62.0,28.0,5.0
2020-05-06,483,175.0,63.0,29.0,6.0
2020-05-07,503,191.0,64.0,29.0,6.0
