fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín
2020-03-26,1,0.0,0.0,0.0
2020-04-03,2,0.0,0.0,1.0
2020-04-04,3,0.0,0.0,1.0
2020-04-06,5,0.0,0.0,2.0
2020-04-08,10,1.0,0.0,2.0
2020-04-09,12,1.0,0.0,2.0
2020-04-10,15,1.0,0.0,2.0
2020-04-11,17,2.0,0.0,2.0
2020-04-12,19,3.0,0.0,2.0
2020-04-13,20,3.0,0.0,2.0
2020-04-14,21,3.0,0.0,2.0
2020-04-15,24,4.0,0.0,2.0
2020-04-16,28,7.0,0.0,2.0
2020-04-17,31,7.0,0.0,2.0
2020-04-18,32,7.0,0.0,2.0
2020-04-19,34,8.0,0.0,2.0
2020-04-20,36,9.0,0.0,2.0
2020-04-22,39,10.0,0.0,2.0
2020-04-23,41,10.0,0.0,3.0
2020-04-25,43,10.0,1.0,3.0
2020-04-26,47,10.0,3.0,3.0
2020-04-27,49,10.0,3.0,3.0
2020-04-28,54,12.0,6.0,3.0
2020-04-29,63,12.0,8.0,4.0
2020-05-02,67,15.0,8.0,4.0
2020-05-03,68,15.0,8.0,4.0
2020-05-05,69,16.0,8.0,4.0
2020-05-06,71,18.0,8.0,4.0
