Codigo Departamento,Codigo Municipio,Municipio,Total ,Cabeceras,Centros poblados y rural disperso
76,76606,RESTREPO,20.7,16.8,29.0
76,76616,RIOFRÍO,23.2,16.2,29.0
76,76622,ROLDANILLO,16.5,13.0,27.0
76,76670,SAN PEDRO,18.0,13.4,21.7
76,76736,SEVILLA,27.4,23.8,39.8
76,76823,TORO,32.1,26.2,45.2
76,76828,TRUJILLO,34.9,25.4,43.3
76,76834,TULUÁ,13.7,11.6,24.5
76,76845,ULLOA,24.2,19.5,28.3
76,76863,VERSALLES,30.6,15.9,46.8
76,76869,VIJES,19.0,13.0,33.2
76,76890,YOTOCO,20.8,17.0,25.3
76,76892,YUMBO,15.6,15.3,18.0
76,76895,ZARZAL,17.2,15.8,21.5
81,81001,ARAUCA,38.6,35.4,60.0
81,81065,ARAUQUITA,49.2,40.1,52.9
81,81220,CRAVO NORTE,48.8,45.5,57.8
81,81300,FORTUL,48.3,43.4,53.9
81,81591,PUERTO RONDÓN,45.0,38.7,60.0
81,81736,SARAVENA,39.4,34.1,56.5
81,81794,TAME,41.9,32.8,57.8
85,85001,YOPAL,22.9,20.1,39.5
85,85010,AGUAZUL,27.0,22.1,40.3
85,85015,CHÁMEZA,36.0,20.0,62.0
85,85125,HATO COROZAL,56.1,45.1,65.1
85,85136,LA SALINA,48.1,23.2,70.1
85,85139,MANÍ,30.3,28.2,36.5
85,85162,MONTERREY,27.5,25.3,33.6
85,85225,NUNCHÍA,56.4,26.7,64.3
85,85230,OROCUÉ,45.8,31.1,72.8
85,85250,PAZ DE ARIPORO,37.8,30.7,54.7
85,85263,PORE,45.2,35.9,60.1
85,85279,RECETOR,39.3,21.1,44.4
85,85300,SABANALARGA,34.2,27.2,42.2
85,85315,SÁCAMA,32.5,21.7,43.8
85,85325,SAN LUIS DE PALENQUE,37.0,21.5,46.2
85,85400,TÁMARA,55.0,25.6,64.5
85,85410,TAURAMENA,27.2,22.3,37.0
85,85430,TRINIDAD,38.7,30.7,49.9
85,85440,VILLANUEVA,24.6,22.4,32.3
86,86001,MOCOA,24.8,20.2,37.3
86,86219,COLÓN,22.6,17.4,31.4
86,86320,ORITO,39.8,32.2,48.9
86,86568,PUERTO ASÍS,44.1,36.7,56.5
86,86569,PUERTO CAICEDO,38.9,24.1,49.2
86,86571,PUERTO GUZMÁN,62.2,43.1,68.9
86,86573,PUERTO LEGUÍZAMO,53.6,39.3,70.2
86,86749,SIBUNDOY,23.0,22.3,24.8
86,86755,SAN FRANCISCO,23.5,22.0,25.7
86,86757,SAN MIGUEL,48.5,39.4,53.0
86,86760,SANTIAGO,37.2,30.3,44.1
